eta,Ra,Rac,Ro,Ro_std,hk,hm,gamma
0.4,78100000.0,2.0,0.0097 , 0.0038 ,7.68e+02 ,4.59e+00 ,6.05e+02 
0.6,78100000.0,2.2,0.0143 , 0.0042 ,9.14e+02 ,1.82e+00 ,1.01e+03 
0.4,156000000.0,3.9,0.0250 , 0.0044 ,2.02e+04 ,1.52e+01 ,1.60e+04 
0.6,156000000.0,4.4,0.0367 , 0.0028 ,3.17e+04 ,1.08e+01 ,1.63e+04 
0.4,312000000.0,7.9,0.0476 , 0.0046 ,2.55e+05 ,6.92e+01 ,1.88e+05 
0.6,312000000.0,8.8,0.0703 , 0.0060 ,2.19e+05 ,7.03e+01 ,1.16e+05 
0.4,625000000.0,15.8,0.0804 , 0.0105 ,3.66e+05 ,4.75e+01 ,3.31e+05 
0.6,625000000.0,17.6,0.1201 , 0.0168 ,3.64e+05 ,9.48e+01 ,1.77e+05 
0.4,47656000.0,2.0,0.0088 , 0.0026 ,2.03e+02 ,1.35e+00 ,5.47e+01 
0.6,47656000.0,1.8,0.0122 , 0.0020 ,1.21e+03 ,2.98e+00 ,7.23e+02 
0.4,62500000.0,2.6,0.0138 , 0.0031 ,3.40e+03 ,3.82e+00 ,1.59e+03 
0.6,62500000.0,2.4,0.0189 , 0.0022 ,1.46e+04 ,7.31e+00 ,5.79e+03 
0.4,78100000.0,3.3,0.0183 , 0.0035 ,5.04e+03 ,4.65e+00 ,1.69e+03 
0.6,78100000.0,3.0,0.0294 , 0.0037 ,1.91e+04 ,3.89e+00 ,7.62e+03 
0.4,104100000.0,4.3,0.0274 , 0.0048 ,1.14e+04 ,1.10e+01 ,2.90e+03 
0.6,104100000.0,4.0,0.0416 , 0.0050 ,6.01e+04 ,1.16e+01 ,1.30e+04 
0.4,156000000.0,6.5,0.0401 , 0.0060 ,7.32e+04 ,2.76e+01 ,2.55e+04 
0.6,156000000.0,6.0,0.0651 , 0.0076 ,1.66e+05 ,2.80e+01 ,4.78e+04 
0.4,312000000.0,13.0,0.0612 , 0.0070 ,1.82e+05 ,2.23e+01 ,7.70e+04 
0.6,312000000.0,11.9,0.1191 , 0.0183 ,3.31e+05 ,1.99e+01 ,1.53e+05 
0.4,625000000.0,26.0,0.0908 , 0.0118 ,2.32e+05 ,2.23e+01 ,1.04e+05 
0.6,625000000.0,23.9,0.2053 , 0.0327 ,6.58e+05 ,2.33e+01 ,2.33e+05 
0.4,47656000.0,2.3,0.0105 , 0.0024 ,1.70e+03 ,4.49e+00 ,1.38e+03 
0.6,47656000.0,2.5,0.0123 , 0.0010 ,6.52e+03 ,3.07e+01 ,3.17e+03 
0.4,62500000.0,3.0,0.0157 , 0.0033 ,7.27e+03 ,5.23e+00 ,2.55e+03 
0.6,62500000.0,3.3,0.0146 , 0.0008 ,1.32e+04 ,4.51e+01 ,7.02e+03 
0.4,78100000.0,3.7,0.0194 , 0.0036 ,8.35e+03 ,1.01e+01 ,1.99e+03 
0.6,78100000.0,4.1,0.0215 , 0.0012 ,2.60e+04 ,6.23e+01 ,1.13e+04 
0.4,104100000.0,4.9,0.0269 , 0.0045 ,2.53e+04 ,1.39e+01 ,5.97e+03 
0.6,104100000.0,5.5,0.0362 , 0.0024 ,1.26e+05 ,9.58e+01 ,4.60e+04 
0.4,156000000.0,7.4,0.0389 , 0.0060 ,4.14e+04 ,1.01e+01 ,9.92e+03 
0.6,156000000.0,8.2,0.0720 , 0.0093 ,9.53e+04 ,6.44e+00 ,2.99e+04 
0.4,312000000.0,14.8,0.0587 , 0.0074 ,1.55e+05 ,6.44e+01 ,6.06e+04 
0.6,312000000.0,16.3,0.1283 , 0.0214 ,5.21e+05 ,2.71e+01 ,2.36e+05 
0.4,625000000.0,29.6,0.0860 , 0.0107 ,2.01e+05 ,1.75e+01 ,8.91e+04 
0.6,625000000.0,32.7,0.2186 , 0.0365 ,8.79e+05 ,2.60e+01 ,2.53e+05 
