eta,Ra,Rac,Ro,Ro_std,hk,hm,gamma
0.4,78100000.0,2.0,0.0097 , 0.0038 ,2.74e+02 ,2.39e+00 ,3.38e+02 
0.6,78100000.0,2.2,0.0143 , 0.0042 ,3.45e+02 ,1.12e+00 ,4.98e+02 
0.4,156000000.0,3.9,0.0250 , 0.0044 ,7.50e+03 ,4.29e+00 ,6.54e+03 
0.6,156000000.0,4.4,0.0367 , 0.0028 ,1.17e+04 ,1.30e+01 ,8.66e+03 
0.4,312000000.0,7.9,0.0476 , 0.0046 ,1.13e+05 ,1.11e+01 ,1.15e+05 
0.6,312000000.0,8.8,0.0703 , 0.0060 ,9.17e+04 ,4.92e+01 ,7.36e+04 
0.4,625000000.0,15.8,0.0804 , 0.0105 ,1.78e+05 ,6.82e+00 ,2.27e+05 
0.6,625000000.0,17.6,0.1201 , 0.0168 ,2.16e+05 ,3.87e+01 ,1.46e+05 
0.4,47656000.0,2.0,0.0088 , 0.0026 ,7.89e+01 ,6.33e-01 ,2.98e+01 
0.6,47656000.0,1.8,0.0122 , 0.0020 ,1.41e+02 ,4.98e-01 ,1.49e+02 
0.4,62500000.0,2.6,0.0138 , 0.0031 ,1.32e+03 ,9.22e-01 ,6.54e+02 
0.6,62500000.0,2.4,0.0189 , 0.0022 ,1.58e+03 ,9.22e-01 ,1.69e+03 
0.4,78100000.0,3.3,0.0183 , 0.0035 ,1.88e+03 ,1.10e+00 ,8.20e+02 
0.6,78100000.0,3.0,0.0294 , 0.0037 ,2.91e+03 ,1.19e+00 ,2.70e+03 
0.4,104100000.0,4.3,0.0274 , 0.0048 ,4.50e+03 ,2.30e+00 ,1.57e+03 
0.6,104100000.0,4.0,0.0416 , 0.0050 ,6.54e+03 ,4.01e+00 ,4.99e+03 
0.4,156000000.0,6.5,0.0401 , 0.0060 ,2.93e+04 ,4.06e+00 ,1.38e+04 
0.6,156000000.0,6.0,0.0651 , 0.0076 ,4.10e+04 ,7.94e+00 ,2.24e+04 
0.4,312000000.0,13.0,0.0612 , 0.0070 ,7.12e+04 ,2.47e+00 ,4.43e+04 
0.6,312000000.0,11.9,0.1191 , 0.0183 ,2.48e+05 ,2.73e+00 ,1.15e+05 
0.4,625000000.0,26.0,0.0908 , 0.0118 ,6.96e+04 ,2.24e+00 ,6.26e+04 
0.6,625000000.0,23.9,0.2053 , 0.0327 ,2.90e+05 ,2.33e+00 ,1.66e+05 
0.4,47656000.0,2.3,0.0105 , 0.0024 ,5.84e+02 ,1.09e+00 ,6.06e+02 
0.6,47656000.0,2.5,0.0123 , 0.0010 ,6.37e+02 ,7.43e+00 ,8.81e+02 
0.4,62500000.0,3.0,0.0157 , 0.0033 ,2.93e+03 ,1.08e+00 ,1.13e+03 
0.6,62500000.0,3.3,0.0146 , 0.0008 ,1.60e+03 ,1.17e+01 ,2.00e+03 
0.4,78100000.0,3.7,0.0194 , 0.0036 ,3.26e+03 ,2.18e+00 ,9.89e+02 
0.6,78100000.0,4.1,0.0215 , 0.0012 ,3.47e+03 ,1.46e+01 ,4.04e+03 
0.4,104100000.0,4.9,0.0269 , 0.0045 ,9.83e+03 ,2.29e+00 ,2.81e+03 
0.6,104100000.0,5.5,0.0362 , 0.0024 ,1.69e+04 ,2.78e+01 ,1.73e+04 
0.4,156000000.0,7.4,0.0389 , 0.0060 ,1.56e+04 ,1.71e+00 ,4.85e+03 
0.6,156000000.0,8.2,0.0720 , 0.0093 ,4.69e+04 ,2.03e+00 ,1.57e+04 
0.4,312000000.0,14.8,0.0587 , 0.0074 ,5.68e+04 ,1.68e+01 ,3.17e+04 
0.6,312000000.0,16.3,0.1283 , 0.0214 ,2.84e+05 ,3.08e+00 ,1.61e+05 
0.4,625000000.0,29.6,0.0860 , 0.0107 ,6.09e+04 ,1.40e+00 ,4.94e+04 
0.6,625000000.0,32.7,0.2186 , 0.0365 ,3.32e+05 ,2.80e+00 ,2.01e+05 
