eta,Ek,Pr,Pm,rStrat,dsdr,Ra,Rac,Ro,Ro_std,Rm,Rm_std,BouPower,OhmDiss,ViscDiss,Ekt,Ekt_ax,Ekp,Ekp_ax,Ekin,Emt,Emt_ax,Emp,Emp_ax,Emag
0.4, 1.6e-05 ,1 ,5 , 0.60 , 328 ,4.77e+07 , 2.3e+00 ,0.0105 , 0.0024 ,313 ,  68  ,2.14e+08 ,8.43e+07 ,1.44e+08 ,1.60e+04 ,6.65e+02 ,9.96e+03 ,9.15e+00 ,2.60e+04 ,2.00e+04 ,1.11e+03 ,3.09e+04 ,9.35e+03 ,5.09e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,4.77e+07 , 2.5e+00 ,0.0123 , 0.0010 ,443 ,  36  ,6.05e+08 ,5.73e+08 ,2.23e+08 ,3.11e+04 ,1.72e+03 ,1.89e+04 ,9.85e+01 ,5.00e+04 ,5.64e+04 ,3.93e+04 ,2.77e+05 ,2.58e+05 ,3.34e+05 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 250 ,6.25e+07 , 3.0e+00 ,0.0157 , 0.0033 ,445 ,  92  ,4.59e+08 ,1.77e+08 ,3.14e+08 ,3.23e+04 ,8.68e+02 ,2.02e+04 ,2.20e+01 ,5.25e+04 ,1.94e+04 ,3.32e+03 ,3.96e+04 ,2.73e+04 ,5.90e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,6.25e+07 , 3.3e+00 ,0.0146 , 0.0008 ,548 ,  41  ,1.04e+09 ,1.03e+09 ,3.58e+08 ,4.81e+04 ,2.82e+03 ,2.83e+04 ,1.49e+02 ,7.64e+04 ,8.28e+04 ,4.94e+04 ,3.31e+05 ,2.97e+05 ,4.14e+05 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 200 ,7.81e+07 , 3.7e+00 ,0.0194 , 0.0036 ,576 ,  93  ,8.91e+08 ,4.89e+08 ,4.92e+08 ,5.08e+04 ,1.96e+03 ,3.53e+04 ,7.55e+01 ,8.61e+04 ,4.54e+04 ,1.87e+03 ,4.60e+04 ,1.16e+04 ,9.13e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,7.81e+07 , 4.1e+00 ,0.0215 , 0.0012 ,742 ,  59  ,1.91e+09 ,1.86e+09 ,7.60e+08 ,8.71e+04 ,3.96e+03 ,5.26e+04 ,2.40e+02 ,1.40e+05 ,8.48e+04 ,4.36e+04 ,3.76e+05 ,3.29e+05 ,4.61e+05 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 150 ,1.04e+08 , 4.9e+00 ,0.0269 , 0.0045 ,785 , 120  ,1.65e+09 ,8.83e+08 ,9.67e+08 ,9.40e+04 ,3.97e+03 ,6.55e+04 ,1.34e+02 ,1.60e+05 ,5.32e+04 ,2.60e+03 ,4.01e+04 ,2.70e+03 ,9.33e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,1.04e+08 , 5.5e+00 ,0.0362 , 0.0024 ,1107,  95  ,3.96e+09 ,3.43e+09 ,1.96e+09 ,1.91e+05 ,8.04e+03 ,1.20e+05 ,4.48e+02 ,3.11e+05 ,8.61e+04 ,2.36e+04 ,3.42e+05 ,2.73e+05 ,4.28e+05 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 100 ,1.56e+08 , 7.4e+00 ,0.0389 , 0.0060 ,1156, 165  ,3.37e+09 ,1.65e+09 ,2.20e+09 ,2.02e+05 ,1.05e+04 ,1.42e+05 ,3.07e+02 ,3.45e+05 ,4.10e+04 ,6.98e+02 ,1.85e+04 ,1.24e+03 ,5.95e+04 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,1.56e+08 , 8.2e+00 ,0.0720 , 0.0093 ,2072, 304  ,1.00e+10 ,6.00e+09 ,8.90e+09 ,6.87e+05 ,1.33e+04 ,4.18e+05 ,1.03e+03 ,1.11e+06 ,7.92e+03 ,1.88e+02 ,7.53e+03 ,5.48e+02 ,1.54e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 50  ,3.12e+08 , 1.5e+01 ,0.0587 , 0.0074 ,1926, 266  ,9.82e+09 ,5.34e+09 ,5.97e+09 ,5.76e+05 ,2.10e+04 ,3.78e+05 ,1.02e+03 ,9.54e+05 ,4.87e+04 ,1.82e+04 ,5.76e+04 ,3.66e+04 ,1.06e+05 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,3.12e+08 , 1.6e+01 ,0.1283 , 0.0214 ,3715, 589  ,4.00e+10 ,2.84e+10 ,3.63e+10 ,2.23e+06 ,9.73e+04 ,1.34e+06 ,6.89e+03 ,3.56e+06 ,2.58e+04 ,5.08e+02 ,2.49e+04 ,9.85e+02 ,5.08e+04 
0.4, 1.6e-05 ,1 ,5 , 0.60 , 25  ,6.25e+08 , 3.0e+01 ,0.0860 , 0.0107 ,2892, 443  ,2.50e+10 ,1.44e+10 ,1.50e+10 ,1.33e+06 ,6.82e+04 ,8.26e+05 ,3.47e+03 ,2.16e+06 ,1.10e+06 ,2.70e+04 ,9.82e+05 ,2.81e+04 ,2.09e+06 
0.6, 1.6e-05 ,1 ,5 , 0.00 ,  0  ,6.25e+08 , 3.3e+01 ,0.2186 , 0.0365 ,6145, 1006 ,1.43e+11 ,1.16e+11 ,1.35e+11 ,6.04e+06 ,6.33e+05 ,3.72e+06 ,3.33e+04 ,9.76e+06 ,3.09e+06 ,4.37e+04 ,2.76e+06 ,3.94e+04 ,5.85e+06 
